APP_name	Res_base	ID	ID_name	size	data	res_filename
NO_APP	-1	1	ADO_GLOBAL_EMPTYAUDIO	8	..\\..\\Customer\\Audio\\EmptyAudio.mp3	NA
NO_APP	-1	2	ADO_GLOBAL_EMPTYAUDIO_EXT	8	..\\..\\Customer\\Audio\\EmptyAudio.mp3	NA
NO_APP	-1	3	ADO_GLOBAL_NOAUDIO	8	..\\..\\Customer\\Audio\\NoAudio.mp3	NA
NO_APP	-1	4	ADO_GLOBAL_DEFAULT	8	..\\..\\Customer\\Audio\\Default.mp3	NA
APP_MRE	4802	4803	AUD_ID_MRE_FEEDBACK_SLIENT	105	..\\..\\Customer\\AUDIO\\PLUTO\\Sound\\Silence.imy	NA
APP_UCM	46123	46124	AUD_ID_UCM_AUTO_ANSWER	6466	..\\..\\Customer\\AUDIO\\PLUTO\\UCM\\auto_answer_tone.wav	NA
APP_SMS	46367	46368	AUD_ID_SMS_EMS_IMY1	112	..\\..\\Customer\\AUDIO\\PLUTO\\EMS\\imy1.imy	NA
APP_SMS	46367	46369	AUD_ID_SMS_EMS_IMY2	132	..\\..\\Customer\\AUDIO\\PLUTO\\EMS\\imy2.imy	NA
APP_SMS	46367	46370	AUD_ID_SMS_EMS_IMY3	126	..\\..\\Customer\\AUDIO\\PLUTO\\EMS\\imy3.imy	NA
APP_SMS	46367	46371	AUD_ID_SMS_EMS_IMY4	122	..\\..\\Customer\\AUDIO\\PLUTO\\EMS\\imy4.imy	NA
APP_SMS	46367	46372	AUD_ID_SMS_EMS_IMY5	121	..\\..\\Customer\\AUDIO\\PLUTO\\EMS\\imy5.imy	NA
SRV_PROF	7794	7795	AUD_ID_PROF_INTERNAL_BEGIN	8	..\\..\\Customer\\AUDIO\\EmptyAudio.mp3	NA
SRV_PROF	7794	7796	AUD_ID_PROF_TONE_BEGIN	8	..\\..\\Customer\\AUDIO\\EmptyAudio.mp3	NA
SRV_PROF	7794	7797	AUD_ID_PROF_TONE1	644710	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Tone\\poweron.mp3	NA
SRV_PROF	7794	7798	AUD_ID_PROF_TONE2	338586	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Tone\\poweroff.mp3	NA
SRV_PROF	7794	7799	AUD_ID_PROF_TONE3	216	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Tone\\cs03.mid	NA
SRV_PROF	7794	7800	AUD_ID_PROF_TONE4	158	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Tone\\cs04.mid	NA
SRV_PROF	7794	7801	AUD_ID_PROF_TONE5	376	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Tone\\cs05.mid	NA
SRV_PROF	7794	7802	AUD_ID_PROF_TONE_END	8	..\\..\\Customer\\AUDIO\\EmptyAudio.mp3	NA
SRV_PROF	7794	7803	AUD_ID_PROF_RING_BEGIN	8	..\\..\\Customer\\AUDIO\\EmptyAudio.mp3	NA
SRV_PROF	7794	7804	AUD_ID_PROF_RING1	245	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Ring\\s1imy01.imy	NA
SRV_PROF	7794	7805	AUD_ID_PROF_RING2	292	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Ring\\s1imy02.imy	NA
SRV_PROF	7794	7806	AUD_ID_PROF_RING3	406	..\\..\\Customer\\AUDIO\\PLUTO\\UserProfiles\\Ring\\s1imy03.imy	NA
