ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_ID_EM_PROFILING_TVOUT_MODE	11965	TV-Out mode	24	
STR_ID_EM_PROFILING_ROTATE_0	11966	Rotate 0	18	
STR_ID_EM_PROFILING_ROTATE_90	11967	Rotate 90	20	
STR_ID_EM_PROFILING_ROTATE_180	11968	Rotate 180	22	
STR_ID_EM_PROFILING_ROTATE_270	11969	Rotate 270	22	
STR_ID_EM_PROFILING_TV_FULL_SCREEN	11970	Full screen	24	
STR_ID_EM_PROFILING_TV_LCD_SCREEN	11971	LCD screen	22	
STR_ID_EM_PROFILING_SIZE_SQCIF	11972	SQCIF (128x96)	30	
STR_ID_EM_PROFILING_SIZE_QCIF	11973	SQCIF (128x96)	30	STR_ID_EM_PROFILING_SIZE_SQCIF
STR_ID_EM_PROFILING_SIZE_CIF	11974	CIF (352x288)	28	
STR_ID_EM_PROFILING_SIZE_QQVGA	11975	QQVGA (160x120)	32	
STR_ID_EM_PROFILING_SIZE_QVGA	11976	QVGA (320x240)	30	
STR_ID_EM_PROFILING_SIZE_VGA	11977	VGA (640x480)	28	
STR_ID_EM_PROFILING_SIZE_LCD	11978	LCD Size	18	
STR_ID_EM_PROFILING_RECORD_SIZE	11979	Record Size	24	
STR_ID_EM_PROFILING_PREVIEW_SIZE	11980	Preview Size	26	
STR_ID_EM_PROFILING_SETTING	11981	Setting	16	
STR_ID_EM_RF_TEST_GSM_CONFIRM_NOTIFY_TEST	11982	Wifi must be off. Will power off after test.	90	
STR_ID_FM_VBAT	13540	ADC_VBAT	18	
STR_ID_FM_BTEMP	13541	ADC_VBATTMP	24	
STR_ID_FM_VAUX	13542	ADC_VAUX	18	
STR_ID_FM_CURRENT	13543	ADC_VISENSE	24	
STR_ID_FM_VCHGR	13544	ADC_VCHGR	20	
STR_ID_FM_AUTO_TEST_ENTER_PRIORITY	13548	Enter priority	30	
STR_ID_UMMS_NEW_MMS_FROM_SIM3	15656	?	4	STR_ID_APP_MRE
